user	send_text
01101101	不看歌名我还以为在听韩语歌
花生行	狠人
peak	不亚于自己割包皮
laughing	差异还是有点的
laughing	割那个要止血
阿利群	操，牛逼
花生汤	？
嘿肉	这么大吗
嘿肉	尿出来得多疼啊
01101101	他不是说了
01101101	酸爽
落花又生	这比割包皮痛多了  尿道估计也划伤了
花生棒	没割过，不知道
01101101	没吧鸡， 不知道
翁帅	有没有蒙古大夫去给帅帅lá一刀
laughing	没割过，不知道
阿利群	主要是这么大一颗结石
阿利群	从尿道出来
阿利群	无法想象
ember	[擦汗]群姐跃跃欲试
花生酒	想想导尿管
花生行	鸟被噶喽
阿利群	导尿管是规则物体啊，结石，有棱有角
Vict.胡	尿道割伤就有乐子啦
Vict.胡	哈哈哈哈哈哈
laughing	[亲亲]
阿利群	有老哥看看不，我的还没到期，看不到
阿利群	听说可以续期了
laughing	我的也没到期
GD	iPhone 15啥时候发布
花生棒	苹果秋季发布会那天
花生汤	又菜又爱玩
GD	又菜又爱玩
落花又生	又菜又爱玩
嘿肉	iPhone 15 promax啥时候发布
花生汤	@嘿肉
花生汤	视频车副驾驶的液晶时速表不是原厂的吧，奥迪有这玩意？
阿利群	艹 下辈子不做人了
大板	周一开局就灵魂重击？
Vict.胡	最后一个真的是炸裂
一个好人	这种活动需要参加?
Roy。	你都能摸鱼，人家不行？
Maxxxxyu	不是
一个好人	摸鱼...好吧
大板	这玩意有啥好上IMAX的，又不是动作片又没特效
嘿肉	主驾气囊有弹出来吗
Roy。	除了金晨，王传君，其他的能看？
Hugh.R 🤥	[表情]
嘿肉	我挺想去看这个的
花生汤	看不起我艺兴gie gie？
Nietzsche	我对王传君也没什么好感  不知道什么原因
Roy。	演技还行的
Roy。	我不是药神里面发挥得挺好
01101101	甚至从二档升到三档
Maxxxxyu	割海报收集档韭菜[旺柴]
Roy。	真不咋喜欢他，跳舞不知道跳的啥
01101101	[表情]
花生豆	王传君用力太猛
Roy。	总感觉这个人有点假
Nietzsche	是了   有这种感觉
花生豆	才华承担不了他的抱负
Roy。	金晨这个女人还是有点意思
花生汤	太瘦了，没意思
花生棒	这里面一个人都卜喜欢
！	棒棒好爱卜睿
！	所有的不都换成了卜
花生汤	被你发现他俩的小秘密了，你当心点
花生信™	爱的证明♂
Vict.胡	金晨身材不错啦吧
花生信™	平板身材
Roy。	这个人也挺逗的。
！	特别特别瘦
Vict.胡	[绿了]
！	但是她演的很🔥
花生信™	微信输入法还挺好用的，我试了下感觉和搜狗差不多
花生信™	我现在电脑上都改用微信输入法了
翁帅	正经人谁用微信输入法啊
翁帅	也就0用
花生冰	14pro和13air这么难选？
Roy。	我卸载了。
Ronnie	正经人谁用微信啊
Maxxxxyu	无脑14P
laughing	无脑14P
花生仁	我想了想 我想等下一代
花生刀	https://xueqiu.com/S/AAPL/256402600
花生仁	我对下一代的期望是有face id或者把刘海去掉
花生冰	M3会先出air版本对吧
花生刂巾	都这么有钱吗
花生冰	等M3：3 
花生信™	无脑 13A
花生仁	有一说一 那个摄像头 真的没啥用啊 
花生仁	真的没啥用
花生冰	等M3的13air吧
花生仁	就算视频会议 我也都不开摄像头啊
花生信™	要是客户是外企的或者干脆是老外的，基本上都开摄像头的
花生信™	国内客户一般都不开
花生仁	这种情况就用iPhone吧
花生仁	iPhone现在好像可以作为mac的摄像头了
花生信™	13air 还不如改成 12 寸
花生行	微信输入法还挺好用的，我试了下感觉和搜狗差不多
花生行	我现在电脑上都改用微信输入法了
花生信™	更加极致
Vict.胡	可以没用 但是不能没有
花生信™	改成 12 寸还能和 14pro差别更大一些
laughing	mac上的搜狗能删除一些没用的组件吗
花生仁	建议apple出个单独 的摄像头可以作为配件卖个999
laughing	优雅嘛？
Maxxxxyu	现在可以拿iPhone摄像头了啊
花生仁	简直不能更加符合apple的理念
laughing	那必定不可能出
花生行	有钱仁别建议了
花生行	[表情]
Vict.胡	不环保
laughing	有钱仁别建议了
Roy。	你抓包看下，一直后台发送网络请求。
花生信™	苹果以前出过摄像头，很好看的，isight
花生仁	输入法我只用微软或者苹果自带的输入法
Vict.胡	除了原生 别的我都不想用
花生仁	我查查
翁帅	除了原生 别的我都不想用
花生行	[Sob]忍了
花生仁	除了原生 别的我都不想用
花生行	原生聊个天还行，打个长的东西真的脑溢血。。。
花生仁	苹果电脑在2003年的世界开发者大会推出iSight。
Vict.胡	没有吧
Roy。	大概率是在训练他们的模型。感觉一点隐私都没了。
Vict.胡	除非你要打特别复杂的内容
花生信™	早先的mac pro 带的显示器是没有摄像头的，所以需要搭配 isight
花生刂巾	微信不是对接警察局的吗
Vict.胡	什么毛子的名字这种
Vict.胡	那是很蛋疼
花生行	[表情]
花生信™	搜狗也对接吧
花生仁	那比较早了 03年我还在上小学？
花生行	这么说怕了
花生信™	国内输入法半斤八两的样子
花生刂巾	用自带的输入法呢
花生信™	可惜以前的谷歌输入法不做了
花生信™	以前明明做的挺好的
祝狗蛋	那些一般都是埋点sdk回传的啦
花生仁	但是还能用
祝狗蛋	可以直接改host
祝狗蛋	如果是规律性的几秒钟传一次的都是
花生仁	可是输入法有时候好像需要联网获取联想输入你下一个词语
花生仁	这种怎么避免
花生信™	微信输入法要是可以改主题色就好了，或者和自带输入法一样跟着系统的主题色变化
花生信™	自带输入法输入一些网络热词或者专业词汇太费劲了
祝狗蛋	埋点的host和输入法服务端的host一般不一样
祝狗蛋	可以分开改
laughing	问个问题，微博网页版还能回到旧版嘛
阿利群	差不多为啥要换？
花生仁	自带的输入法也是
